,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
470,HISP 243,001,Survey of Lat Amer Lit&Cult1,12/12/2019,9:00,GYM,Fieldhouse,43-44,AAA,ZZZ
471,HIST 202,001,Survey: Canada to 1867,12/18/2019,14:00,TAKE,HOME,,AAA,ZZZ
472,HIST 205,001,Ancient Mediterranean History,12/12/2019,18:30,GYM,Fieldhouse,18-23,AAA,ZZZ
473,HIST 208,001,Intro to East Asian History,12/19/2019,14:00,GYM,Studio 1,1-7,AAA,ZZZ
474,HIST 211,001,American History to 1865,12/12/2019,14:00,GYM,main gym,23-29,AAA,ZZZ
475,HIST 216,001,Intro to Russian History,12/11/2019,9:00,GYM,Fieldhouse,1-6,AAA,ZZZ
476,HIST 223,002,Indigenous Peoples and Empires,12/6/2019,14:00,GYM,Fieldhouse,21-25,AAA,ZZZ
477,HIST 226,001,E Central &SE Europe in 20th C,12/19/2019,9:00,GYM,Fieldhouse,1-3,AAA,ZZZ
478,HIST 249,001,Health&the Healer in West Hist,12/13/2019,18:30,TAKE,HOME,,AAA,ZZZ
479,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
480,HIST 292,001,History and the Environment,12/6/2019,14:00,ENGTR,1090,,AAA,ZZZ
481,HIST 298,001,Topics in History,12/17/2019,14:00,GYM,main gym,20-23,AAA,ZZZ
482,HIST 301,001,U.S. Mass Media,12/6/2019,18:30,TAKE,HOME,,AAA,ZZZ
483,HIST 302,001,IR History 1: 1750-1950,12/5/2019,14:00,TAKE,HOME,,AAA,ZZZ
484,HIST 309,001,Hist of Latin America to 1825,12/5/2019,9:00,TAKE,HOME,,AAA,ZZZ
485,HIST 315,001,Themes in World History,12/16/2019,18:30,GYM,main gym,39-42,AAA,ZZZ
486,HIST 315,002,Themes in World History,12/16/2019,18:30,GYM,main gym,43-44,AAA,ZZZ
487,HIST 333,001,Indigenous Peoples & French,12/20/2019,14:00,TAKE,HOME,,AAA,ZZZ
488,HIST 335,001,Science and Medicine in Canada,12/19/2019,14:00,GYM,main gym,33-35,AAA,ZZZ
489,HIST 345,001,Hist of Italian Renaissance,12/10/2019,14:00,GYM,main gym,40-43,AAA,ZZZ
490,HIST 349,001,Greece: From Ottoman to the EU,12/12/2019,14:00,TAKE,HOME,,AAA,ZZZ
491,HIST 368,001,Greek Hist: Classical Period,12/20/2019,9:00,GYM,main gym,34-37,AAA,ZZZ
492,HIST 387,001,The First World War,12/9/2019,14:00,GYM,Studio 1,1-5,AAA,ZZZ
493,HIST 393,001,Civil War and Reconstruction,12/13/2019,14:00,GYM,Studio 1,1-6,AAA,MIL
494,HIST 393,001,Civil War and Reconstruction,12/13/2019,14:00,GYM,Studio 2,1-5,MIT,ZZZ
495,INDG 200,001,Intro. to Indigenous Studies,12/9/2019,9:00,GYM,Studio 1,1-7,AAA,ZZZ
496,INDG 202,001,Topics in Indigenous Studies 1,12/12/2019,9:00,FERRIER,105,,AAA,ZZZ
497,INDR 294,001,Intro to Labour-Mgmt Relations,12/17/2019,14:00,GYM,Fieldhouse,41-42,AAA,ZZZ
498,INDR 459,001,Comparative Employ. Relations,12/11/2019,14:00,GYM,main gym,30-31,AAA,ZZZ
499,INDR 492,001,Globalization & Labour Policy,12/9/2019,14:00,GYM,main gym,37-39,AAA,ZZZ
500,INSY 333,001,Systems Analysis & Modelling,12/19/2019,14:00,GYM,Fieldhouse,5-6,AAA,ZZZ
501,INSY 336,001,DataHandl&Coding for Analytics,12/9/2019,18:30,BRONF/ARMST,205/075,,AAA,ZZZ
502,INSY 341,001,Developing Business Apps,12/13/2019,14:00,ARMST,060,,AAA,ZZZ
503,INSY 432,071,Digital Business Models,12/11/2019,9:00,GYM,main gym,36-38,AAA,ZZZ
504,INSY 440,051,E-Business,12/17/2019,18:30,GYM,Fieldhouse,16,AAA,ZZZ
505,INSY 450,001,IS Project Management,12/5/2019,14:00,GYM,main gym,41-43,AAA,ZZZ
506,INSY 661,075,Data and Dist Sys for Analytics,9-Dec,9:00,ARMST,260,,AAA,ZZZ
507,INSY 662,075,Data Mining and Visualization,6-Dec,9:00,BRONFMAN,205,,AAA,ZZZ
508,INTD 200,001,Intro to Int'l Development,12/12/2019,9:00,TAKE,HOME,,AAA,ZZZ
