,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
652,MGCR 211,051,Intro to Financial Accounting,12/9/2019,9:00,GYM,Fieldhouse,7-11,AAA,ZZZ
653,MGCR 222,001,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,18-26,AAA,ZZZ
654,MGCR 222,002,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,3-13,AAA,ZZZ
655,MGCR 222,003,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,3-13,AAA,ZZZ
656,MGCR 222,004,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,14-17,AAA,ZZZ
657,MGCR 222,005,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,3-13,AAA,ZZZ
658,MGCR 222,006,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,27-31,AAA,ZZZ
659,MGCR 222,007,Intro to Org Behaviour,12/12/2019,18:30,GYM,main gym,18-26,AAA,ZZZ
660,MGCR 271,001,Business Statistics,12/5/2019,9:00,GYM,main gym,3-12,AAA,ZZZ
661,MGCR 271,002,Business Statistics,12/5/2019,9:00,GYM,main gym,3-12,AAA,ZZZ
662,MGCR 271,003,Business Statistics,12/5/2019,9:00,GYM,main gym,13-17,AAA,ZZZ
663,MGCR 271,004,Business Statistics,12/5/2019,9:00,GYM,main gym,18-27,AAA,ZZZ
664,MGCR 271,005,Business Statistics,12/5/2019,9:00,GYM,main gym,28-32,AAA,ZZZ
665,MGCR 271,006,Business Statistics,12/5/2019,9:00,GYM,main gym,18-27,AAA,ZZZ
666,MGCR 293,001,Managerial Economics,12/18/2019,14:00,GYM,main gym,15-29,AAA,ZZZ
667,MGCR 293,002,Managerial Economics,12/18/2019,14:00,GYM,main gym,30-44,AAA,ZZZ
668,MGCR 293,003,Managerial Economics,12/18/2019,14:00,GYM,main gym,15-29,AAA,ZZZ
669,MGCR 293,004,Managerial Economics,12/18/2019,14:00,GYM,main gym,15-29,AAA,ZZZ
670,MGCR 293,005,Managerial Economics,12/18/2019,14:00,GYM,main gym,30-44,AAA,ZZZ
671,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
672,MGCR 293,006,Managerial Economics,12/18/2019,14:00,GYM,305,1-7,AAA,LAS
673,MGCR 293,006,Managerial Economics,12/18/2019,14:00,GYM,408,1-7,LAV,ZZZ
674,MGCR 331,001,Information Systems,12/6/2019,14:00,GYM,main gym,6-21,AAA,ZZZ
675,MGCR 331,002,Information Systems,12/6/2019,14:00,GYM,main gym,6-21,AAA,ZZZ
676,MGCR 331,003,Information Systems,12/6/2019,14:00,GYM,main gym,6-21,AAA,ZZZ
677,MGCR 331,081,Information Systems,12/6/2019,14:00,GYM,main gym,3-5,AAA,ZZZ
678,MGCR 341,001,Introduction to Finance,12/17/2019,14:00,GYM,Fieldhouse,24-32,AAA,ZZZ
679,MGCR 341,002,Introduction to Finance,12/17/2019,14:00,GYM,Fieldhouse,24-32,AAA,ZZZ
680,MGCR 352,001,Principles of Marketing,12/19/2019,14:00,GYM,main gym,8-16,AAA,ZZZ
681,MGCR 352,002,Principles of Marketing,12/19/2019,14:00,GYM,main gym,8-16,AAA,ZZZ
682,MGCR 352,003,Principles of Marketing,12/19/2019,14:00,GYM,main gym,8-16,AAA,ZZZ
683,MGCR 352,004,Principles of Marketing,12/19/2019,14:00,GYM,main gym,17-28,AAA,ZZZ
684,MGCR 352,005,Principles of Marketing,12/19/2019,14:00,GYM,main gym,17-28,AAA,ZZZ
685,MGCR 352,006,Principles of Marketing,12/19/2019,14:00,GYM,main gym,17-28,AAA,ZZZ
686,MGCR 352,007,Principles of Marketing,12/19/2019,14:00,GYM,main gym,29-32,AAA,ZZZ
687,MGCR 382,001,International Business,12/10/2019,18:30,GYM,Fieldhouse,14-26,AAA,ZZZ
688,MGCR 382,002,International Business,12/10/2019,18:30,GYM,Fieldhouse,14-26,AAA,ZZZ
689,MGCR 423,001,Strategic Management,12/16/2019,14:00,GYM,main gym,26-32,AAA,ZZZ
690,MGCR 423,002,Strategic Management,12/16/2019,14:00,GYM,main gym,26-32,AAA,ZZZ
691,MGCR 423,003,Strategic Management,12/16/2019,14:00,GYM,main gym,33-36,AAA,ZZZ
692,MGCR 423,004,Strategic Management,12/16/2019,14:00,GYM,main gym,37-39,AAA,ZZZ
693,MGCR 423,005,Strategic Management,12/16/2019,14:00,GYM,main gym,40-45,AAA,ZZZ
694,MGCR 423,051,Strategic Management,12/16/2019,14:00,GYM,main gym,40-45,AAA,ZZZ
695,MGCR 472,001,Operations Management,12/13/2019,9:00,GYM,Studio 1,1-7,AAA,LOR
696,MGCR 472,001,Operations Management,12/13/2019,9:00,GYM,Studio 2,1-7,LOW,ZZZ
697,MGCR 472,002,Operations Management,12/13/2019,9:00,GYM,Studio 1,1-7,AAA,LOR
698,MGCR 472,002,Operations Management,12/13/2019,9:00,GYM,Studio 2,1-7,LOW,ZZZ
699,MGCR 472,003,Operations Management,12/13/2019,9:00,GYM,Studio 1,1-7,AAA,LOR
700,MGCR 472,003,Operations Management,12/13/2019,9:00,GYM,Studio 2,1-7,LOW,ZZZ
701,MGCR 653,001,Markets and Globalization,13-Dec,13:00,ARMST,065,,AAA,ZZZ
702,MGCR 653,002,Markets and Globalization,13-Dec,13:00,ARMST,065,,AAA,ZZZ
703,MGPO 362,001,Fundls of Entrepreneurship,12/9/2019,14:00,GYM,Fieldhouse,41-46,AAA,ZZZ
704,MGPO 362,002,Fundls of Entrepreneurship,12/9/2019,14:00,GYM,Fieldhouse,41-46,AAA,ZZZ
705,MGPO 362,003,Fundls of Entrepreneurship,12/9/2019,14:00,GYM,Fieldhouse,39-40,AAA,ZZZ
706,MGPO 362,061,Fundls of Entrepreneurship,12/9/2019,14:00,GYM,Fieldhouse,41-46,AAA,ZZZ
707,MGPO 440,001,Strategies for Sustainability,12/6/2019,9:00,TAKE,HOME,,AAA,ZZZ
708,MGPO 440,002,Strategies for Sustainability,12/6/2019,9:00,TAKE,HOME,,AAA,ZZZ
709,MGSC 372,001,Advanced Business Statistics,12/10/2019,14:00,GYM,Studio 1,1-7,AAA,MEH
710,MGSC 372,001,Advanced Business Statistics,12/10/2019,14:00,GYM,Studio 2,1-6,MEL,ZZZ
711,MGSC 372,002,Advanced Business Statistics,12/10/2019,14:00,GYM,Studio 1,1-7,AAA,MEH
712,MGSC 372,002,Advanced Business Statistics,12/10/2019,14:00,GYM,Studio 2,1-6,MEL,ZZZ
713,MGSC 372,003,Advanced Business Statistics,12/10/2019,14:00,GYM,Studio 1,1-7,AAA,MEH
714,MGSC 372,003,Advanced Business Statistics,12/10/2019,14:00,GYM,Studio 2,1-6,MEL,ZZZ
715,MGSC 373,001,Operations Research 1,12/9/2019,14:00,GYM,main gym,40-43,AAA,ZZZ
716,MGSC 401,001,Stat Founds of Data Analytics,12/12/2019,9:00,TAKE,HOME,,AAA,ZZZ
717,MGSC 401,002,Stat Founds of Data Analytics,12/12/2019,9:00,TAKE,HOME,,AAA,ZZZ
718,MGSC 404,001,Founds of Decision Analytics,12/5/2019,9:00,ARMST,060,,AAA,ZZZ
719,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
720,MGSC 404,002,Founds of Decision Analytics,12/5/2019,9:00,ARMST,065,,AAA,ZZZ
721,MGSC 662,075,Decision Analytics,11-Dec,9:00,ARMST,065,,AAA,ZZZ
722,MICR 341,001,Mechanisms of Pathogenicity,12/9/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
723,MIME 200,001,Intro to the Minerals Industry,12/6/2019,9:00,GYM,main gym,31-32,AAA,ZZZ
724,MIME 250,001,Intro to Extractive Metallurgy,12/18/2019,9:00,GYM,Fieldhouse,19-20,AAA,ZZZ
725,MIME 260,001,Materials Science&Engineering,12/20/2019,9:00,GYM,main gym,3-5,AAA,ZZZ
726,MIME 260,002,Materials Science&Engineering,12/20/2019,9:00,GYM,main gym,3-5,AAA,ZZZ
727,MIME 261,001,Structure of Materials,12/12/2019,18:30,GYM,main gym,38-42,AAA,ZZZ
728,MIME 262,001,Prop.Materials in Elec. Eng.,12/13/2019,9:00,GYM,Fieldhouse,19-20,AAA,ZZZ
729,MIME 317,001,Analytical&Character'ion Techs,12/5/2019,14:00,ENGTR,0060,,AAA,ZZZ
730,MIME 329,001,Mining Geology,12/16/2019,9:00,ENGTR,0060,,AAA,ZZZ
731,MIME 330,001,Mining Geotechnics,12/12/2019,9:00,ENGTR,0060,,AAA,ZZZ
732,MIME 340,001,Applied Fluid Dynamics,12/17/2019,14:00,GYM,main gym,27-30,AAA,ZZZ
733,MIME 352,001,Hydrochemical Processing,12/19/2019,14:00,GYM,Fieldhouse,27-28,AAA,ZZZ
734,MIME 356,001,"Heat, Mass and Fluid Flow",12/17/2019,14:00,GYM,main gym,27-30,AAA,ZZZ
735,MIME 360,001,Phase Transformations:Solids,12/19/2019,18:30,GYM,Fieldhouse,42-43,AAA,ZZZ
736,MIME 362,001,Mechanical Properties,12/18/2019,9:00,GYM,Fieldhouse,44-45,AAA,ZZZ
737,MIME 410,001,Research Project,12/17/2019,9:00,ENGTR,0070,,AAA,ZZZ
738,MIME 421,001,Rock Mechanics,12/10/2019,9:00,ENGTR,0070,,AAA,ZZZ
739,MIME 425,001,Appl Stoch Orebody Modelling,12/19/2019,9:00,GYM,Fieldhouse,45,AAA,ZZZ
740,MIME 465,001,Metal & Ceram Powd Proc,12/12/2019,14:00,GYM,Studio 2,1-4,AAA,ZZZ
741,MIME 470,001,Engineering Biomaterials,12/10/2019,18:30,GYM,main gym,34-37,AAA,ZZZ
742,MIME 521,001,Stability of Undergrd Openings,12/10/2019,9:00,ENGTR,0070,,AAA,ZZZ
743,MIME 525,001,Stochastic Orebody Modelling,12/19/2019,9:00,GYM,Fieldhouse,45,AAA,ZZZ
744,MIME 527,001,Selected Topics in Min Res Eng,12/5/2019,9:00,ENGTR,0060,,AAA,ZZZ
745,MIME 570,001,Micro & Nano-Fabrication Fund.,12/17/2019,9:00,ENGTR,1100,,AAA,ZZZ
746,MIME 570,002,Micro & Nano-Fabrication Fund.,12/17/2019,9:00,ENGTR,1100,,AAA,ZZZ
747,MIME 652,001,Aqueous Processing,12/19/2019,14:00,GYM,Fieldhouse,27-28,AAA,ZZZ
748,MIME 665,001,Adv Proc of Powder Materials,12/12/2019,14:00,GYM,Studio 2,1-4,AAA,ZZZ
749,MIMM 211,001,Introductory Microbiology,12/12/2019,14:00,GYM,Fieldhouse,36-45,AAA,ZZZ
750,MIMM 323,001,Microbial Physiology,12/16/2019,9:00,GYM,BLEACHERS,1-5,AAA,ZZZ
751,MIMM 324,001,Fundamental Virology,12/20/2019,9:00,GYM,BLEACHERS,1-5,AAA,ZZZ
752,MIMM 384,001,Molecular Microbiology Lab,12/12/2019,18:30,GYM,Studio 1,1-7,AAA,ZZZ
753,MIMM 414,001,Advanced Immunology,12/18/2019,9:00,GYM,main gym,39-43,AAA,ZZZ
754,MRKT 440,001,Marketing Analytics,12/6/2019,14:00,GYM,Fieldhouse,26-27,AAA,ZZZ
755,MRKT 440,002,Marketing Analytics,12/6/2019,14:00,GYM,Fieldhouse,26-27,AAA,ZZZ
756,MRKT 452,002,Consumer Behaviour,12/12/2019,9:00,GYM,Fieldhouse,41-42,AAA,ZZZ
757,MRKT 455,001,Sales Management,12/12/2019,18:30,GYM,main gym,34-37,AAA,ZZZ
758,MUAR 201,001,Basic Materials:Western Mus,12/11/2019,9:00,ADAMS,AUD,,AAA,ZZZ
759,MUAR 201,002,Basic Materials:Western Mus,12/11/2019,9:00,LEA,132,,AAA,ZZZ
760,MUAR 211,001,The Art of Listening,12/18/2019,9:00,LEA,132,,AAA,ZZZ
761,MUAR 211,002,The Art of Listening,12/18/2019,9:00,ADAMS,AUD,,AAA,ZZZ
762,MUAR 374,002,Special Topics in Music,12/10/2019,14:00,MUSIC,C412/E109,,AAA,ZZZ
763,MUAR 392,001,Popular Music after 1945,12/6/2019,9:00,ADAMS,AUDITORIUM,,AAA,ZZZ
764,MUHL 186,001,Western Musical Traditions,12/13/2019,14:00,ADAMS,AUDITORIUM,,AAA,ZZZ
765,MUHL 385,001,Early Twentieth-Century Music,12/10/2019,9:00,MUSIC,E109,,AAA,ZZZ
766,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
767,MUHL 387,001,Opera from Mozart to Puccini,12/17/2019,9:00,MUSIC,E109,,AAA,ZZZ
768,MUIT 202,001,Woodwind Techniques,12/10/2019,14:00,MUSIC,C301,,AAA,ZZZ
769,MUIT 202,001W,Woodwind Techniques,12/10/2019,9:00,MUSIC,C411,,AAA,ZZZ
770,MUIT 204,001,Percussion Techniques,12/5/2019,14:00,MUSIC,C310,,AAA,ZZZ
771,MUSP 123,001,Jazz Ear Training 1,12/9/2019,14:00,MUSIC,C411,,AAA,ZZZ
772,MUSP 123,002,Jazz Ear Training 1,12/5/2019,9:00,MUSIC,C412,,AAA,ZZZ
773,MUTH 150,001,Theory and Analysis 1,12/20/2019,9:00,MUSIC,C411/C412/E109,,AAA,ZZZ
774,MUTH 250,001,Theory and Analysis 3,12/11/2019,9:00,MUSIC,A412/ C411/C412/E109/SH550 1115 & 1116,,AAA,ZZZ
775,MUTH 529,001,Proseminar in Music Theory,12/5/2019,9:00,MUSIC,A510,,AAA,ZZZ
776,NRSC 333,001,Pollution and Bioremediation,12/18/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
777,NSCI 200,001,Intro. to Neuroscience 1,12/18/2019,14:00,GYM,BLEACHERS,1-5,AAA,ZZZ
778,NUR1 209,001,Pathophysiology for Nursing 1,12/5/2019,18:30,GYM,main gym,2-18,AAA,ZZZ
779,NUR1 222,001,Strengths-Based Nurs&Prof Prac,12/9/2019,14:00,GYM,main gym,2-10,AAA,ZZZ
780,NUR1 222,002,Strengths-Based Nurs&Prof Prac,12/9/2019,14:00,GYM,main gym,11-19,AAA,ZZZ
781,NUR1 230,001,Supporting Hlth&Healing Capac1,12/20/2019,9:00,SH680,2020  + LAB,,AAA,ZZZ
782,NUR1 230,002,Supporting Hlth&Healing Capac1,12/20/2019,9:00,SH680,2020 + LAB,,AAA,ZZZ
783,NUR1 230,003,Supporting Hlth&Healing Capac1,12/20/2019,9:00,SH680,2020 + LAB,,AAA,ZZZ
784,NUR1 230,004,Supporting Hlth&Healing Capac1,12/20/2019,9:00,SH680,2020 + LAB,,AAA,ZZZ
785,NUR1 230,005,Supporting Hlth&Healing Capac1,12/20/2019,9:00,SH680,2020 + LAB,,AAA,ZZZ
786,NUR1 235,001,Health & Physical Assess/Anat1,12/16/2019,9:00,,SIM CENTER,,AAA,ZZZ
787,NUR1 235,001W,Health & Physical Assess/Anat1,12/18/2019,9:00,GYM,main gym,1-17,AAA,ZZZ
788,NUR1 300,001,Pharmacology for Nursing 1,12/12/2019,9:00,GYM,Fieldhouse,11-18,AAA,ZZZ
789,NUR1 312,001,Research in Nursing,12/19/2019,18:30,GYM,Fieldhouse,17-21,AAA,ZZZ
790,NUR1 323,001,Illness Management 1,12/11/2019,9:00,GYM,Fieldhouse,25-28,AAA,ZZZ
791,NUR1 325,002,"Acute,Chron&Pall Hlth Chall 1",12/6/2019,9:00,GYM,main gym,33-39,AAA,ZZZ
792,NUR1 325,003,"Acute,Chron&Pall Hlth Chall 1",12/6/2019,9:00,GYM,main gym,33-39,AAA,ZZZ
793,NUR1 325,004,"Acute,Chron&Pall Hlth Chall 1",12/6/2019,9:00,GYM,main gym,33-39,AAA,ZZZ
794,NUR1 329,001,Skin Integrity and Wound Care,12/18/2019,9:00,GYM,Fieldhouse,1-8,AAA,ZZZ
795,NUR1 336,001,Illness Mgmt Clin Skills Lab 2,12/17/2019,9:00,SH680,LAB,,AAA,ZZZ
796,NUR1 336,002,Illness Mgmt Clin Skills Lab 2,12/17/2019,9:00,SH680,LAB,,AAA,ZZZ
797,NUR1 336,003,Illness Mgmt Clin Skills Lab 2,12/17/2019,9:00,SH680,LAB,,AAA,ZZZ
798,NUR1 336,004,Illness Mgmt Clin Skills Lab 2,12/17/2019,9:00,SH680,LAB,,AAA,ZZZ
799,NUR1 336,005,Illness Mgmt Clin Skills Lab 2,12/17/2019,9:00,SH680,LAB,,AAA,ZZZ
800,NUR1 338,001,Appl Hlth&Phys Assessmt/Anat1,12/13/2019,9:00,,SIM CENTER,,AAA,ZZZ
801,NUR1 338,001W,Appl Hlth&Phys Assessmt/Anat1,12/18/2019,9:00,GYM,main gym,1-17,AAA,ZZZ
802,NUR1 424,001,"Legal,Ethical&Prof Prac Issues",12/17/2019,9:00,GYM,Fieldhouse,1-9,AAA,ZZZ
803,NUR2 500,001,Pathology&Pharma in Nursing 1,12/19/2019,9:00,SH680,2020,,AAA,ZZZ
804,NUR2 517,001,Nursing Clinical Skills Lab 1,12/20/2019,9:00,SH680,2020 + LAB,,AAA,ZZZ
805,NUR2 534,001,Health Assessment/Anatomy1,12/16/2019,9:00,,SIM CENTER,,AAA,ZZZ
806,NUR2 534,001W,Health Assessment/Anatomy1,12/18/2019,9:00,GYM,main gym,1-17,AAA,ZZZ
807,NUR2 623,001,Clin.Assess.&Therapeutics 1,12/11/2019,9:00,GYM,Fieldhouse,25-28,AAA,ZZZ
808,NUTR 207,001,Nutrition and Health,12/13/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
809,NUTR 214,001,Food Fundamentals,12/17/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
810,NUTR 307,001,Metabolism and Human Nutrition,12/13/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
811,NUTR 341,001,Global Food Security,12/10/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
812,NUTR 345,001,Food Service Systems Mgmt,12/18/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
813,NUTR 446,001,Applied Human Resources,12/5/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
814,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
815,NUTR 450,001,Research Meth: Human Nutrition,12/11/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
816,NUTR 545,001,Clinical Nutrition 2,12/9/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
817,NUTR 546,001,Clinical Nutrition 3,12/16/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
818,ORGB 380,001,Cross Cultural Management,12/17/2019,18:30,GYM,main gym,28-31,AAA,ZZZ
819,ORGB 380,002,Cross Cultural Management,12/17/2019,18:30,GYM,main gym,28-31,AAA,ZZZ
820,PHAR 200,001,Introduction to Pharmacology 1,12/18/2019,14:00,MCMED,522,,AAA,ZZZ
821,PHAR 300,001,Drug Action,12/10/2019,18:30,GYM,main gym,24-33,AAA,ZZZ
822,PHAR 505,001,Structural Pharmacology,12/5/2019,14:00,GYM,Fieldhouse,38-39,AAA,ZZZ
823,PHAR 562,001,Neuropharmacology,12/13/2019,14:00,GYM,BLEACHERS,1-4,AAA,ZZZ
824,PHGY 209,001,Mammalian Physiology 1,12/16/2019,14:00,GYM,Fieldhouse,1-19,AAA,ZZZ
825,PHGY 209,002,Mammalian Physiology 1,12/16/2019,14:00,GYM,Fieldhouse,20-29,AAA,ZZZ
826,PHGY 212,001,Introductory Physiology Lab 1,12/12/2019,9:00,GYM,Fieldhouse,30-37,AAA,ZZZ
827,PHGY 311,001,"Channels, Synapses & Hormones",12/16/2019,14:00,GYM,Fieldhouse,34-38,AAA,ZZZ
828,PHGY 314,001,Integrative Neuroscience,12/5/2019,9:00,GYM,main gym,33-40,AAA,ZZZ
829,PHGY 508,001,Advanced Renal Physiology,12/9/2019,9:00,MCMED,1034,,AAA,ZZZ
830,PHGY 524,001,Chronobiology,12/11/2019,14:00,MCMED,1034,,AAA,ZZZ
831,PHIL 200,001,Intro to Philosophy 1,12/6/2019,9:00,GYM,Fieldhouse,22-29,AAA,ZZZ
832,PHIL 210,001,Intro to Deductive Logic 1,12/10/2019,9:00,GYM,main gym,3-21,AAA,ZZZ
833,PHIL 230,001,Intro to Moral Philosophy 1,12/13/2019,9:00,GYM,Fieldhouse,1-8,AAA,ZZZ
834,PHIL 240,001,Political Philosophy 1,12/17/2019,14:00,GYM,main gym,31-39,AAA,ZZZ
835,PHIL 242,001,Intro to Feminist Theory,12/11/2019,9:00,TAKE,HOME,,AAA,ZZZ
836,PHIL 306,001,Philosophy of Mind,12/11/2019,14:00,GYM,Studio 1,1-6,AAA,ZZZ
837,PHIL 343,001,Biomedical Ethics,12/12/2019,14:00,GYM,main gym,41-44,AAA,ZZZ
838,PHIL 360,001,17th Century Philosophy,12/9/2019,9:00,TAKE,HOME,,AAA,ZZZ
839,PHIL 367,001,19th Century Philosophy,12/6/2019,14:00,ARTS,260,,AAA,ZZZ
840,PHIL 375,001,Existentialism,12/19/2019,9:00,TAKE,HOME,,AAA,ZZZ
841,PHIL 475,001,Topics in Contem European Phil,12/16/2019,9:00,LEA,927,,AAA,ZZZ
842,PHYS 101,001,Intro Physics - Mechanics,12/13/2019,9:00,GYM,Fieldhouse,21-40,AAA,ZZZ
843,PHYS 131,001,Mechanics and Waves,12/17/2019,9:00,GYM,main gym,3-28,AAA,ZZZ
844,PHYS 180,001,"Space, Time & Matter",12/12/2019,9:00,GYM,main gym,5-14,AAA,ZZZ
845,PHYS 182,001,Our Evolving Universe,12/6/2019,14:00,MAASS,217,,AAA,ZZZ
846,PHYS 214,001,Introductory Astrophysics,12/9/2019,9:00,MAASS,217,,AAA,ZZZ
847,PHYS 224,001,Physics of Music,12/19/2019,18:30,GYM,BLEACHERS,1-5,AAA,ZZZ
848,PHYS 230,001,Dynamics of Simple Systems,12/17/2019,18:30,GYM,Fieldhouse,39-42,AAA,ZZZ
849,PHYS 242,001,Electricity & Magnetism,12/16/2019,14:00,GYM,BLEACHERS,5,AAA,ZZZ
850,PHYS 251,001,Honours Classical Mechanics 1,12/6/2019,14:00,GYM,main gym,36-40,AAA,ZZZ
851,PHYS 253,001,Thermal Physics,12/9/2019,18:30,GYM,Fieldhouse,37-38,AAA,ZZZ
852,PHYS 260,001,Modern Physics and Relativity,12/20/2019,9:00,GYM,main gym,26-31,AAA,ZZZ
853,PHYS 328,001,Electronics,12/19/2019,18:30,GYM,Fieldhouse,44-45,AAA,ZZZ
854,PHYS 340,001,Majors Electricity & Magnetism,12/12/2019,18:30,GYM,Fieldhouse,45-46,AAA,ZZZ
855,PHYS 350,001,Hons Electricity & Magnetism,12/12/2019,9:00,GYM,Fieldhouse,26-27,AAA,ZZZ
856,PHYS 352,001,Honours Electromagnetic Waves,12/6/2019,14:00,MAASS,10,,AAA,ZZZ
857,PHYS 357,001,Honours Quantum Physics 1,12/17/2019,18:30,GYM,Fieldhouse,20-21,AAA,ZZZ
858,PHYS 404,001,Climate Physics,12/18/2019,9:00,BURN,719A,,AAA,ZZZ
859,PHYS 434,001,Optics,12/12/2019,9:00,GYM,main gym,34-36,AAA,ZZZ
860,PHYS 446,001,Majors Quantum Physics,12/5/2019,9:00,RPHYS,112,,AAA,ZZZ
861,PHYS 512,001,Comp. Phys. with Applications,12/13/2019,9:00,TAKE,HOME,,AAA,ZZZ
862,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
863,PHYS 521,001,Astrophysics,12/20/2019,9:00,RPHYS,103,,AAA,ZZZ
864,PHYS 551,001,Quantum Theory,12/9/2019,14:00,TAKE,HOME,,AAA,ZZZ
865,PHYS 557,001,Nuclear Physics,12/19/2019,9:00,RPHYS,103,,AAA,ZZZ
866,PHYS 558,001,Solid State Physics,12/16/2019,14:00,GYM,BLEACHERS,3-4,AAA,ZZZ
867,PHYS 559,001,Advanced Statistical Mechanics,12/11/2019,9:00,RPHYS,112,,AAA,ZZZ
868,PLNT 300,001,Cropping Systems,12/6/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
869,PLNT 302,001,Forage Crops and Pastures,12/12/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
870,PLNT 358,001,Flowering Plant Diversity,12/13/2019,14:M00a,donald Ste,aMrtS B-023/032,,AAA,ZZZ
871,PLNT 460,001,Plant Ecology,12/16/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
872,POLI 200,001,Intro to Political Science,12/6/2019,9:00,GYM,Fieldhouse,8-21,AAA,ZZZ
873,POLI 221,001,Government of Canada,12/20/2019,9:00,GYM,Fieldhouse,1-8,AAA,ZZZ
874,POLI 226,001,La vie politique québécoise,12/5/2019,14:00,GYM,main gym,37-40,AAA,ZZZ
875,POLI 244,001,Intl Politics: State Behaviour,12/10/2019,9:00,GYM,Fieldhouse,10-29,AAA,ZZZ
876,POLI 318,001,Comparative Local Government,12/5/2019,18:30,GYM,main gym,27-31,AAA,ZZZ
877,POLI 329,001,Russian and Soviet Politics,12/17/2019,9:00,GYM,Fieldhouse,42-45,AAA,ZZZ
878,POLI 339,001,Comp Developed: Topics 1,12/6/2019,9:00,GYM,Fieldhouse,33-34,AAA,ZZZ
879,POLI 340,001,Developing Areas/Middle East,12/12/2019,18:30,GYM,Fieldhouse,24-32,AAA,ZZZ
880,POLI 346,001,American Foreign Policy,12/9/2019,9:00,GYM,main gym,24-33,AAA,ZZZ
881,POLI 347,001,"Arab-Israel Confl,Crisis,Peace",12/17/2019,18:30,GYM,main gym,32-41,AAA,ZZZ
882,POLI 359,001,Topics in Intl Politics 1,12/19/2019,18:30,GYM,Fieldhouse,32-34,AAA,ZZZ
883,POLI 360,001,Security: War and Peace,12/16/2019,18:30,GYM,main gym,30-38,AAA,ZZZ
884,POLI 364,001,Radical Political Thought,12/11/2019,14:00,TAKE,HOME,,AAA,ZZZ
885,POLI 423,001,Politics of Ethno-Nationalism,12/20/2019,9:00,GYM,Fieldhouse,42-43,AAA,ZZZ
886,POLI 426,001,Partis pol et comp élect au Qc,12/13/2019,14:00,ARTS,260,,AAA,ZZZ
887,POLI 433,001,Hist of Pol/Soc Theory 3,12/18/2019,9:00,ARTS,260,,AAA,ZZZ
888,POLI 435,001,Identity and Inequality,12/10/2019,9:00,GYM,Fieldhouse,39-40,AAA,ZZZ
889,POLI 444,003,Topics in Intl Politics 2,12/12/2019,14:00,GYM,main gym,20-22,AAA,ZZZ
890,POLI 445,001,IPE: Monetary Relations,12/11/2019,9:00,GYM,Fieldhouse,29-31,AAA,ZZZ
891,POLI 451,001,The European Union,12/19/2019,14:00,GYM,Studio 2,1-7,AAA,ZZZ
892,PSYC 100,001,Introduction to Psychology,12/17/2019,9:00,GYM,Fieldhouse,10-31,AAA,ZZZ
893,PSYC 204,001,Intro to Psychological Stats,12/19/2019,18:30,GYM,Fieldhouse,1-16,AAA,ZZZ
894,PSYC 211,001,Intro Behavioural Neuroscience,12/5/2019,9:00,GYM,Fieldhouse,14-35,AAA,ZZZ
895,PSYC 215,001,Social Psychology,12/13/2019,14:00,GYM,Fieldhouse,15-36,AAA,ZZZ
896,PSYC 301,001,Animal Learning and Theory,12/13/2019,9:00,GYM,main gym,25-31,AAA,ZZZ
897,PSYC 304,001,Child Development,12/20/2019,9:00,GYM,Fieldhouse,19-32,AAA,ZZZ
898,PSYC 305,001,Statistics for Exper Design,12/10/2019,18:30,GYM,Fieldhouse,33-44,AAA,ZZZ
899,PSYC 310,001,Intelligence,12/12/2019,9:00,GYM,main gym,25-33,AAA,ZZZ
900,PSYC 311,001,Human Cognition and the Brain,12/6/2019,9:00,GYM,main gym,3-15,AAA,ZZZ
901,PSYC 315,001,Computational Psychology,12/6/2019,14:00,GYM,main gym,41-43,AAA,ZZZ
